"X(1, 2)","X(1, 3)","X(1, 4)","X(2, 4)","X(2, 5)","X(3, 4)","X(3, 5)","X(4, 5)","Y(1, 2)","Y(1, 3)","Y(1, 4)","Y(2, 4)","Y(2, 5)","Y(3, 4)","Y(3, 5)","Y(4, 5)"
60,50,50,10,50,30,90,80,1,0,0,0,1,0,0,0
80,90,40,10,40,70,80,50,0,0,1,0,0,0,0,1
40,90,80,30,20,90,90,90,1,0,0,0,1,0,0,0
60,30,50,50,20,80,50,60,0,1,0,0,0,0,1,0
40,80,10,80,10,70,10,30,0,0,1,0,0,0,0,1
20,10,50,10,50,50,10,90,0,1,0,0,0,0,1,0
90,40,50,70,10,10,90,90,1,0,0,0,1,0,0,0
80,20,50,40,40,30,10,20,0,1,0,0,0,0,1,0
20,20,20,50,10,50,90,30,1,0,0,0,1,0,0,0
10,60,40,80,40,80,50,50,1,0,0,0,1,0,0,0
10,60,50,80,90,80,20,10,0,0,1,0,0,0,0,1
50,30,90,40,80,30,50,10,0,1,0,0,0,1,0,1
60,50,50,60,30,50,90,10,0,0,1,0,0,0,0,1
70,50,40,40,70,20,50,90,0,1,0,0,0,0,1,0
50,60,70,90,50,70,40,70,1,0,0,0,1,0,0,0
90,30,30,20,20,70,10,60,0,1,0,0,0,0,1,0
50,20,90,90,30,10,80,50,0,1,0,0,0,1,0,1
20,20,80,20,30,20,90,10,1,0,0,0,1,0,0,0
60,50,20,60,20,90,40,10,0,0,1,0,0,0,0,1
90,50,40,90,70,80,40,50,0,0,1,0,0,0,0,1
80,80,50,80,40,50,90,30,0,0,1,0,0,0,0,1
10,60,70,20,70,10,10,70,1,0,0,1,0,1,1,0
90,70,70,60,60,30,80,60,0,0,1,0,0,0,0,1
70,90,90,70,10,50,90,30,1,0,0,0,1,0,0,0
30,30,30,10,10,90,20,10,1,0,0,0,1,0,0,0
40,90,60,50,70,50,90,70,1,0,0,0,1,0,0,0
90,20,80,10,90,30,40,20,0,1,0,0,0,0,1,0
80,80,20,40,30,40,40,30,0,0,1,0,0,0,0,1
90,50,90,70,90,20,30,60,0,1,0,0,0,0,1,0
20,60,50,70,20,60,20,60,1,0,0,0,1,0,0,0
60,90,30,20,10,80,50,20,0,0,1,0,0,0,0,1
80,40,50,90,80,60,30,60,0,1,0,0,0,0,1,0
40,40,80,80,60,80,40,80,0,1,0,0,0,0,1,0
20,10,40,70,50,70,30,60,0,1,0,0,0,0,1,0
60,60,30,30,20,80,40,60,1,0,0,0,1,0,0,0
20,20,30,90,20,50,40,30,1,0,0,0,1,0,0,0
70,20,20,10,20,20,70,60,0,0,1,1,1,0,0,0
60,60,20,60,40,20,10,90,0,0,1,0,0,1,1,0
40,40,50,10,50,90,90,70,1,0,0,0,1,0,0,0
10,70,10,90,70,40,40,40,0,0,1,0,0,0,0,1
30,80,50,60,10,40,30,10,1,0,0,0,1,0,0,0
90,10,60,70,30,70,20,30,0,1,0,0,0,0,1,0
90,80,50,40,10,20,70,60,1,0,0,0,1,0,0,0
50,20,90,30,60,20,50,80,0,1,0,0,0,0,1,0
80,60,80,20,70,50,10,90,0,1,0,0,0,0,1,0
50,60,80,30,70,10,80,90,1,0,0,0,1,0,0,0
30,10,60,40,10,20,20,50,0,1,0,0,0,0,1,0
40,50,50,80,30,30,30,70,1,0,0,0,1,0,0,0
30,50,50,50,80,80,40,30,0,0,1,0,0,0,0,1
30,20,80,70,10,20,60,10,1,0,0,0,1,0,0,0
20,30,30,90,70,50,30,70,0,1,0,0,0,0,1,0
10,10,90,90,20,50,50,60,1,0,0,0,1,0,0,0
80,50,40,30,20,70,10,30,0,1,0,0,0,0,1,0
30,70,10,50,60,80,80,80,0,0,1,0,0,0,0,1
80,80,70,30,90,90,50,40,0,0,1,0,0,0,0,1
30,50,10,70,80,60,80,30,0,0,1,0,0,0,0,1
30,20,90,60,10,70,80,70,1,0,0,0,1,0,0,0
50,90,70,10,30,70,60,30,1,0,0,0,1,0,0,0
10,80,60,30,70,60,50,70,1,0,0,0,1,0,0,0
50,10,40,30,40,90,90,90,1,0,0,0,1,0,0,0
30,90,60,10,60,80,10,80,1,0,0,0,1,0,0,0
40,70,10,50,40,80,10,50,0,0,1,0,0,0,0,1
20,10,90,50,90,20,20,80,0,1,0,0,0,0,1,0
70,10,80,10,30,20,40,90,0,1,0,0,0,0,1,0
30,20,70,30,50,60,10,40,0,1,0,0,0,0,1,0
90,90,40,20,70,80,80,40,0,0,1,0,0,0,0,1
70,30,40,30,90,60,90,70,0,0,1,0,0,0,0,1
20,80,30,10,60,60,10,30,0,0,1,0,0,0,0,1
80,60,40,60,60,50,90,30,0,0,1,0,0,0,0,1
20,30,50,60,80,90,80,10,0,0,1,0,0,0,0,1
20,40,80,60,90,40,40,80,0,1,0,0,0,0,1,0
40,90,20,20,40,10,70,10,0,0,1,0,0,0,0,1
30,60,80,70,60,20,50,80,1,0,0,0,1,0,0,0
50,50,70,50,90,70,30,20,0,1,0,0,0,0,1,0
50,30,20,40,10,10,30,90,0,1,0,0,0,0,1,0
30,30,50,70,10,40,50,90,1,0,0,0,1,0,0,0
40,50,10,40,90,80,60,70,0,0,1,0,0,0,0,1
80,80,70,60,10,90,20,80,1,0,0,0,1,0,0,0
70,30,10,60,80,70,90,20,0,0,1,0,0,0,0,1
10,50,10,70,20,80,70,50,1,0,0,0,1,0,0,0
20,10,10,20,60,60,60,20,0,0,1,0,0,0,0,1
80,90,20,10,10,40,70,80,0,0,1,1,1,0,0,0
80,50,40,10,60,90,90,10,0,0,1,0,0,0,0,1
60,30,60,80,80,70,70,10,0,0,1,0,0,0,0,1
10,90,30,20,80,80,40,50,0,0,1,0,0,0,0,1
10,80,40,10,90,40,60,40,1,0,0,1,0,0,0,1
50,10,90,50,80,60,90,40,0,1,0,0,0,0,1,0
80,60,60,70,70,20,60,10,0,0,1,0,0,0,0,1
20,50,80,80,80,60,30,20,0,1,0,0,0,0,1,0
30,50,90,70,30,90,30,10,1,0,0,0,1,0,0,0
30,10,50,60,90,90,90,70,0,1,0,0,0,0,1,0
30,50,90,70,90,40,50,20,0,1,0,0,0,0,1,0
80,60,40,80,90,10,80,50,0,0,1,0,0,0,0,1
10,30,80,90,10,80,80,80,1,0,0,0,1,0,0,0
80,30,80,60,10,30,10,60,0,1,0,0,0,0,1,0
30,50,50,40,10,90,20,20,1,0,0,0,1,0,0,0
70,40,90,40,50,60,60,50,0,1,0,0,0,0,1,0
90,20,40,50,60,40,70,30,0,0,1,0,0,0,0,1
20,60,50,40,10,90,90,30,1,0,0,0,1,0,0,0
70,40,10,50,40,20,80,20,0,0,1,0,0,0,0,1
50,80,40,30,40,50,50,90,1,0,0,0,1,0,0,0
50,20,70,10,80,30,30,40,0,1,0,0,0,0,1,0
80,30,50,70,20,20,20,40,0,1,0,0,0,0,1,0
80,60,50,50,60,10,60,40,0,0,1,0,0,0,0,1
60,80,40,70,30,70,70,30,0,0,1,0,0,0,0,1
30,10,60,20,70,30,70,90,0,1,0,0,0,0,1,0
90,90,10,50,30,10,20,50,0,0,1,0,0,1,1,0
30,50,10,10,10,40,80,90,0,0,1,1,1,0,0,0
90,60,40,10,40,60,40,50,0,0,1,0,0,0,0,1
10,70,30,90,40,30,50,50,1,0,0,0,1,0,0,0
70,20,10,50,10,40,80,60,0,0,1,0,0,0,0,1
80,90,30,50,10,60,80,10,0,0,1,0,0,0,0,1
30,50,80,70,70,70,10,80,0,1,0,0,0,0,1,0
40,30,60,10,80,90,90,80,0,1,0,0,0,0,1,0
50,70,80,10,60,70,60,80,1,0,0,0,1,0,0,0
90,70,50,20,20,70,50,40,0,0,1,0,0,0,0,1
60,60,30,40,50,70,90,30,0,0,1,0,0,0,0,1
40,70,30,40,70,40,10,30,0,0,1,0,0,0,0,1
70,10,90,10,40,30,40,40,0,1,0,0,0,0,1,0
70,60,90,30,80,20,40,10,0,1,0,0,0,1,0,1
90,40,60,80,20,40,30,40,0,1,0,0,0,0,1,0
70,30,60,40,80,80,30,50,0,1,0,0,0,0,1,0
60,40,20,40,30,60,80,90,1,0,0,0,1,0,0,0
50,70,80,90,70,70,90,80,1,0,0,0,1,0,0,0
50,30,20,80,50,70,70,90,0,1,0,0,0,0,1,0
50,80,10,40,20,90,60,40,0,0,1,0,0,0,0,1
90,10,70,30,10,40,50,30,0,1,0,0,0,0,1,0
90,10,40,10,80,20,20,50,0,1,0,0,0,0,1,0
60,20,10,20,40,60,30,70,0,1,0,0,0,0,1,0
90,80,90,90,90,70,50,40,0,1,0,0,0,0,1,0
80,80,90,30,40,50,10,70,0,1,0,0,0,0,1,0
20,50,30,60,20,30,60,90,1,0,0,0,1,0,0,0
50,20,80,30,80,30,10,80,0,1,0,0,0,0,1,0
40,10,90,40,10,80,20,40,0,1,0,0,0,0,1,0
30,50,60,90,70,30,70,90,1,0,0,0,1,0,0,0
90,90,60,20,50,10,10,90,0,0,1,0,0,1,1,0
40,50,20,50,40,90,10,90,0,1,0,0,0,0,1,0
60,60,40,90,50,30,90,70,0,0,1,0,0,0,0,1
20,70,80,50,80,50,80,90,1,0,0,0,1,0,0,0
40,80,10,10,60,20,50,80,0,0,1,1,1,0,0,0
60,50,20,40,40,40,80,10,0,0,1,0,0,0,0,1
10,40,80,40,30,10,30,50,1,0,0,0,1,0,0,0
20,40,30,40,70,90,30,80,0,1,0,0,0,0,1,0
80,40,80,40,40,20,60,50,0,1,0,0,0,0,1,0
90,10,10,30,40,10,70,50,0,0,1,0,0,0,0,1
10,90,90,10,20,40,80,30,1,0,0,0,1,0,0,0
40,70,30,80,40,40,90,50,0,0,1,0,0,0,0,1
50,10,30,70,60,70,20,40,0,1,0,0,0,0,1,0
90,50,40,20,50,60,40,80,0,1,0,0,0,0,1,0
30,40,80,30,70,70,30,20,0,1,0,0,0,0,1,0
10,50,70,30,40,30,90,60,1,0,0,0,1,0,0,0
70,40,20,10,40,30,80,70,0,0,1,1,1,0,0,0
30,50,50,50,10,10,80,70,1,0,0,0,1,0,0,0
40,60,10,10,80,30,50,70,0,0,1,0,0,0,0,1
70,20,80,40,80,80,50,80,0,1,0,0,0,0,1,0
10,10,50,30,70,10,30,10,0,1,0,0,0,1,0,1
60,50,70,80,80,40,70,60,0,1,0,0,0,0,1,0
90,50,40,70,10,70,60,50,0,0,1,0,0,0,0,1
50,80,50,50,40,70,20,50,1,0,0,0,1,0,0,0
10,80,90,10,40,70,70,10,1,0,0,1,0,0,0,1
10,90,70,30,10,80,90,90,1,0,0,0,1,0,0,0
20,50,10,70,20,30,90,10,0,0,1,0,0,0,0,1
90,50,80,80,30,30,40,50,0,1,0,0,0,0,1,0
50,60,10,90,20,40,30,40,0,0,1,0,0,0,0,1
50,70,30,50,30,70,60,50,0,0,1,0,0,0,0,1
60,40,20,80,10,20,80,60,1,0,0,0,1,0,0,0
10,70,70,10,90,40,10,30,1,0,0,1,0,0,0,1
20,10,20,20,70,70,80,80,0,1,0,0,0,0,1,0
30,10,90,10,70,80,20,60,0,1,0,0,0,0,1,0
60,40,60,60,80,80,20,90,0,1,0,0,0,0,1,0
60,40,90,60,50,70,10,70,0,1,0,0,0,0,1,0
90,30,80,40,30,70,80,20,0,0,1,0,0,0,0,1
40,50,40,90,50,80,20,50,0,1,0,0,0,0,1,0
60,70,30,90,90,70,70,90,0,0,1,0,0,0,0,1
40,30,40,40,10,30,20,70,0,1,0,0,0,0,1,0
60,90,70,60,10,50,30,90,1,0,0,0,1,0,0,0
10,30,70,50,60,90,40,70,1,0,0,0,1,0,0,0
60,90,90,80,60,10,50,40,1,0,0,0,1,0,0,0
90,80,40,70,20,70,40,10,0,0,1,0,0,0,0,1
30,70,40,90,30,40,20,50,1,0,0,0,1,0,0,0
30,40,20,60,50,80,50,30,0,0,1,0,0,0,0,1
60,50,10,90,70,50,20,70,0,1,0,0,0,0,1,0
30,60,50,40,80,40,40,70,0,1,0,0,0,0,1,0
60,90,30,50,40,80,80,70,0,0,1,0,0,0,0,1
50,30,60,90,40,90,90,90,1,0,0,0,1,0,0,0
80,10,60,70,90,40,10,10,0,1,0,0,0,0,1,0
10,40,70,40,10,20,10,20,1,0,0,0,1,0,0,0
10,80,30,60,60,10,80,10,0,0,1,0,0,0,0,1
30,70,40,90,20,40,40,10,1,0,0,0,1,0,0,0
90,10,30,70,60,20,90,90,0,1,0,0,0,0,1,0
70,50,10,50,20,90,70,30,0,0,1,0,0,0,0,1
60,80,10,70,10,40,50,10,0,0,1,0,0,0,0,1
10,70,10,40,60,60,60,80,1,0,0,0,1,0,0,0
50,20,30,60,30,90,70,60,1,0,0,0,1,0,0,0
10,50,50,40,10,90,40,80,1,0,0,0,1,0,0,0
60,10,90,10,60,70,70,70,0,1,0,0,0,0,1,0
50,50,60,40,50,20,20,50,0,1,0,0,0,0,1,0
90,40,70,10,90,50,70,90,0,1,0,0,0,0,1,0
30,90,30,70,60,40,50,80,1,0,0,0,1,0,0,0
10,80,90,90,90,50,30,90,1,0,0,0,1,0,0,0
50,90,80,60,10,80,10,70,1,0,0,0,1,0,0,0
10,10,60,60,80,60,60,70,0,1,0,0,0,0,1,0
90,70,50,40,40,20,20,50,0,1,0,0,0,0,1,0
60,30,70,40,40,30,70,80,0,1,0,0,0,0,1,0
60,90,10,70,40,40,90,30,0,0,1,0,0,0,0,1
60,10,70,60,90,70,60,40,0,1,0,0,0,0,1,0
10,80,40,90,70,80,40,50,1,0,0,0,1,0,0,0
10,40,90,50,80,10,60,20,0,1,0,0,0,1,0,1
30,50,40,50,30,50,10,10,0,0,1,0,0,0,0,1
90,60,60,50,80,80,20,30,0,1,0,0,0,0,1,0
60,70,50,30,70,40,40,40,0,0,1,0,0,0,0,1
60,40,90,10,20,80,60,80,1,0,0,0,1,0,0,0
60,70,20,80,30,10,40,70,0,0,1,0,0,1,1,0
10,50,80,80,90,20,60,10,0,1,0,0,0,1,0,1
20,60,40,80,30,50,70,20,1,0,0,0,1,0,0,0
90,70,20,90,10,20,10,90,0,0,1,0,0,1,1,0
10,40,20,50,20,80,40,40,1,0,0,0,1,0,0,0
80,50,20,80,90,90,40,20,0,0,1,0,0,0,0,1
40,30,60,50,40,80,10,30,0,1,0,0,0,0,1,0
20,50,70,50,40,20,30,30,1,0,0,0,1,0,0,0
70,90,50,60,70,70,10,80,0,1,0,0,0,0,1,0
40,80,70,80,70,40,20,80,0,1,0,0,0,0,1,0
80,60,70,30,40,70,80,30,0,0,1,0,0,0,0,1
90,70,20,90,30,80,40,80,0,0,1,0,0,0,0,1
80,50,50,60,10,70,40,60,0,1,0,0,0,0,1,0
70,20,60,20,90,80,80,10,0,0,1,0,0,0,0,1
30,80,20,30,90,10,30,10,0,0,1,0,0,0,0,1
90,70,90,40,50,40,10,80,0,1,0,0,0,0,1,0
90,60,50,50,70,30,50,60,0,0,1,0,0,0,0,1
20,60,80,30,70,80,70,60,1,0,0,0,1,0,0,0
70,10,90,80,70,30,10,90,0,1,0,0,0,0,1,0
90,70,70,30,50,50,10,90,0,1,0,0,0,0,1,0
20,10,50,30,50,10,30,60,0,1,0,0,0,0,1,0
70,90,60,20,60,40,50,10,0,0,1,0,0,0,0,1
90,10,10,80,60,70,60,70,0,1,0,0,0,0,1,0
30,70,90,50,50,30,10,70,1,0,0,0,1,0,0,0
70,80,10,40,60,80,40,50,0,0,1,0,0,0,0,1
60,70,20,20,30,60,20,40,0,0,1,0,0,0,0,1
20,10,10,30,80,50,10,30,0,1,0,0,0,0,1,0
50,40,40,60,60,60,90,70,0,0,1,0,0,0,0,1
20,90,20,60,10,70,80,30,1,0,0,0,1,0,0,0
80,50,90,50,90,80,20,20,0,1,0,0,0,0,1,0
90,20,60,50,30,50,70,30,0,1,0,0,0,0,1,0
70,80,30,20,50,90,30,20,0,0,1,0,0,0,0,1
10,40,90,70,80,30,40,10,0,1,0,0,0,0,1,0
10,60,20,20,60,80,80,20,0,0,1,0,0,0,0,1
10,30,30,70,50,60,10,80,0,1,0,0,0,0,1,0
80,70,20,10,60,10,60,10,0,0,1,0,0,0,0,1
40,80,90,50,80,20,40,60,1,0,0,0,1,0,0,0
40,50,40,10,40,10,20,40,0,1,0,0,0,0,1,0
90,20,20,10,40,60,30,80,0,1,0,0,0,0,1,0
80,10,50,70,30,90,20,30,0,1,0,0,0,0,1,0
40,40,70,10,80,90,50,60,0,1,0,0,0,0,1,0
30,40,60,70,90,30,10,30,0,1,0,0,0,0,1,0
40,10,40,30,40,80,40,10,0,1,0,0,0,0,1,0
10,40,90,10,70,20,20,50,0,1,0,0,0,0,1,0
90,90,60,90,40,60,80,90,1,0,0,0,1,0,0,0
40,60,80,90,10,40,80,50,1,0,0,0,1,0,0,0
80,70,70,80,10,30,20,70,0,1,0,0,0,0,1,0
90,40,50,30,30,50,30,80,0,1,0,0,0,0,1,0
10,20,90,70,10,10,40,40,1,0,0,0,1,0,0,0
50,10,30,70,70,10,80,40,0,1,0,0,0,1,0,1
20,40,90,10,50,50,90,80,1,0,0,0,1,0,0,0
50,50,30,10,40,90,90,90,0,0,1,1,1,0,0,0
70,60,20,90,90,90,90,70,0,0,1,0,0,0,0,1
80,50,40,70,10,80,10,20,0,0,1,0,0,0,0,1
10,90,10,30,80,10,20,20,0,0,1,0,0,0,0,1
50,90,80,10,40,30,20,80,1,0,0,0,1,0,0,0
10,60,80,10,30,90,40,70,1,0,0,0,1,0,0,0
70,80,10,80,80,60,50,80,0,0,1,0,0,0,0,1
20,40,20,70,90,40,20,70,0,1,0,0,0,0,1,0
30,70,70,20,40,70,10,60,1,0,0,0,1,0,0,0
10,20,20,40,30,10,60,30,1,0,0,0,1,0,0,0
50,70,60,70,10,20,10,10,1,0,0,0,1,0,0,0
40,40,10,90,20,50,50,40,0,0,1,0,0,0,0,1
80,50,30,90,80,10,70,70,0,0,1,0,0,0,0,1
40,30,50,10,40,20,20,80,0,1,0,0,0,0,1,0
60,40,90,30,40,80,60,90,0,1,0,0,0,0,1,0
20,50,60,20,70,30,40,40,1,0,0,1,0,0,0,1
60,20,30,10,10,20,70,60,0,0,1,1,1,0,0,0
30,70,40,90,20,40,20,80,1,0,0,0,1,0,0,0
40,80,70,20,80,70,70,20,1,0,0,1,0,0,0,1
40,40,30,50,50,70,20,60,0,1,0,0,0,0,1,0
20,40,10,20,40,30,70,30,0,0,1,0,0,0,0,1
20,70,20,20,60,60,10,50,0,0,1,0,0,0,0,1
50,60,70,40,70,20,80,50,1,0,0,0,1,0,0,0
50,30,10,40,70,50,30,10,0,0,1,0,0,0,0,1
80,20,90,30,50,50,40,60,0,1,0,0,0,0,1,0
30,90,30,60,20,90,80,90,1,0,0,0,1,0,0,0
80,20,70,80,40,20,30,10,0,1,0,0,0,0,1,0
40,30,90,50,90,60,30,20,0,1,0,0,0,0,1,0
70,60,80,10,10,60,90,50,1,0,0,0,1,0,0,0
40,30,10,30,30,60,70,90,1,0,0,0,1,0,0,0
90,80,30,70,10,70,70,70,0,0,1,0,0,0,0,1
10,90,20,40,40,90,10,90,1,0,0,0,1,0,0,0
40,20,10,10,10,40,20,10,0,0,1,0,0,0,0,1
20,70,90,50,70,50,80,30,1,0,0,0,1,0,0,0
20,80,60,80,90,20,40,90,1,0,0,0,1,0,0,0
70,10,50,50,70,30,40,40,0,1,0,0,0,0,1,0
30,60,70,60,40,10,60,80,1,0,0,0,1,0,0,0
90,30,70,70,90,30,50,80,0,1,0,0,0,0,1,0
20,60,80,80,70,10,50,70,1,0,0,0,1,0,0,0
20,80,60,50,80,70,20,30,0,0,1,0,0,0,0,1
20,60,10,10,40,70,10,70,1,0,0,0,1,0,0,0
60,90,90,80,80,70,50,80,1,0,0,0,1,0,0,0
70,10,90,60,30,10,60,90,0,1,0,0,0,0,1,0
20,40,90,70,50,90,40,40,1,0,0,0,1,0,0,0
40,10,30,60,10,20,70,20,0,0,1,0,0,0,0,1
20,30,70,60,50,60,30,80,0,1,0,0,0,0,1,0
70,50,30,10,70,20,60,40,0,0,1,0,0,0,0,1
40,40,60,70,20,10,50,40,1,0,0,0,1,0,0,0
60,70,40,30,20,50,20,80,1,0,0,0,1,0,0,0
70,80,80,70,60,30,50,30,0,0,1,0,0,0,0,1
20,30,40,60,10,40,30,60,1,0,0,0,1,0,0,0
80,90,20,90,70,90,70,50,0,0,1,0,0,0,0,1
70,10,90,80,10,40,50,20,0,1,0,0,0,0,1,0
10,80,60,20,40,40,40,30,1,0,0,0,1,0,0,0
50,50,10,90,30,50,60,10,0,0,1,0,0,0,0,1
20,30,80,40,70,60,40,10,0,1,0,0,0,0,1,0
60,40,20,70,90,20,70,90,0,0,1,0,0,0,0,1
60,10,20,40,10,50,40,20,0,0,1,0,0,0,0,1
10,90,30,80,70,10,80,30,0,0,1,0,0,0,0,1
10,20,40,20,10,30,40,60,1,0,0,0,1,0,0,0
40,40,20,10,70,50,10,30,0,0,1,0,0,0,0,1
50,50,40,90,80,90,30,70,0,1,0,0,0,0,1,0
30,20,50,10,80,10,60,80,0,1,0,0,0,0,1,0
30,50,70,10,70,50,30,50,0,1,0,0,0,0,1,0
80,60,20,60,20,80,90,70,0,0,1,0,0,0,0,1
40,80,90,60,20,20,50,80,1,0,0,0,1,0,0,0
70,30,60,40,20,40,30,30,0,1,0,0,0,0,1,0
80,40,50,30,40,70,50,50,0,1,0,0,0,0,1,0
90,40,80,70,30,80,20,10,0,1,0,0,0,0,1,0
60,90,40,70,90,50,80,50,0,0,1,0,0,0,0,1
10,40,60,80,40,30,60,50,1,0,0,0,1,0,0,0
50,20,50,80,90,80,20,80,0,1,0,0,0,0,1,0
90,30,80,60,70,40,10,20,0,1,0,0,0,0,1,0
80,30,70,10,10,10,40,90,0,1,0,1,1,1,0,0
90,10,90,10,40,60,60,10,0,1,0,0,0,0,1,0
20,10,90,60,80,70,20,30,0,1,0,0,0,0,1,0
70,90,30,40,50,90,60,50,0,0,1,0,0,0,0,1
20,50,70,40,20,60,30,10,1,0,0,0,1,0,0,0
90,10,20,40,80,30,10,50,0,1,0,0,0,0,1,0
80,30,30,50,50,10,70,60,0,0,1,0,0,0,0,1
60,50,60,30,50,30,90,50,1,0,0,0,1,0,0,0
90,30,20,50,30,30,40,50,0,0,1,0,0,0,0,1
10,20,40,10,60,40,20,10,1,0,0,1,0,0,0,1
20,30,90,80,60,20,60,90,1,0,0,0,1,0,0,0
50,50,70,60,40,90,20,50,0,1,0,0,0,0,1,0
80,90,80,70,80,30,10,50,0,1,0,0,0,0,1,0
60,60,50,50,10,40,10,80,1,0,0,0,1,0,0,0
40,20,30,20,50,80,20,20,0,1,0,0,0,0,1,0
40,80,70,50,30,80,60,70,1,0,0,0,1,0,0,0
10,10,70,90,30,90,70,40,1,0,0,0,1,0,0,0
10,40,30,90,10,30,30,40,1,0,0,0,1,0,0,0
50,90,10,80,80,90,50,60,0,0,1,0,0,0,0,1
40,10,40,70,90,70,40,30,0,1,0,0,0,0,1,0
90,80,70,90,70,60,40,60,0,1,0,0,0,0,1,0
60,30,60,20,70,10,20,60,0,1,0,0,0,0,1,0
70,40,50,30,20,50,80,70,1,0,0,0,1,0,0,0
40,30,70,80,70,20,70,70,0,1,0,0,0,0,1,0
80,90,60,10,70,80,90,80,0,0,1,0,0,0,0,1
20,20,90,70,80,20,60,30,0,1,0,0,0,1,0,1
20,80,20,50,50,20,60,80,1,0,0,0,1,0,0,0
20,20,20,30,30,80,40,70,1,0,0,0,1,0,0,0
40,70,20,80,20,50,30,20,0,0,1,0,0,0,0,1
20,90,60,80,30,10,80,40,1,0,0,0,1,0,0,0
70,80,70,90,70,10,40,60,0,1,0,0,0,0,1,0
10,50,60,40,70,60,70,10,1,0,0,1,0,0,0,1
90,20,80,40,90,40,10,50,0,1,0,0,0,0,1,0
60,90,80,90,10,90,50,50,1,0,0,0,1,0,0,0
50,50,70,50,90,40,70,10,0,0,1,0,0,0,0,1
40,40,40,70,70,90,80,30,0,0,1,0,0,0,0,1
10,50,70,30,50,80,90,70,1,0,0,0,1,0,0,0
50,90,90,10,50,80,30,90,1,0,0,0,1,0,0,0
80,70,20,30,80,80,10,40,0,0,1,0,0,0,0,1
20,20,30,90,50,60,70,90,1,0,0,0,1,0,0,0
80,40,10,50,30,20,70,60,0,0,1,0,0,0,0,1
70,40,80,20,30,80,60,30,0,1,0,0,0,0,1,0
40,60,20,30,40,70,30,40,0,0,1,0,0,0,0,1
20,20,50,30,10,10,10,70,1,0,0,0,1,0,0,0
40,70,40,40,50,10,70,10,0,0,1,0,0,0,0,1
30,90,30,10,40,70,50,60,1,0,0,0,1,0,0,0
50,30,80,60,20,70,20,60,0,1,0,0,0,0,1,0
90,50,10,70,40,90,50,30,0,0,1,0,0,0,0,1
50,90,40,20,30,40,70,20,0,0,1,0,0,0,0,1
80,80,40,10,60,70,70,30,0,0,1,0,0,0,0,1
70,70,30,60,40,60,90,10,0,0,1,0,0,0,0,1
90,20,80,80,30,50,10,20,0,1,0,0,0,0,1,0
90,10,50,30,30,10,60,40,0,1,0,0,0,1,0,1
90,40,40,10,20,80,20,10,0,0,1,0,0,0,0,1
40,30,80,80,60,60,40,10,0,1,0,0,0,0,1,0
60,30,20,10,80,50,60,10,0,0,1,0,0,0,0,1
60,60,40,80,40,80,60,40,0,0,1,0,0,0,0,1
